user_id,username,category,full_name,post_count,post_frequency,follower_count
51267180958,s8ulstore.in,Clothing (Brand),S8ul Store,161,32.2,57705
14494369288,8bit.esportsofficial,Esports Team,Team 8bit,67,13.4,48947
14400747271,8bit_binks,Gamer,Mithul Nayak,206,41.2,84423
46454232055,frontend_in_depth,Education,frontend devlopment,204,40.8,82326
64221900516,confident_coder,Education,Enhance Skills | Growing Everyday,131,26.2,53124
56447448779,wwuiuxdesign,Designer,WW UI/UX Design,1136,227.2,74476
30609973961,coding_cosmos,Digital creator,Phalgun | Developer,348,69.6,87622
60005915071,specsycoder,Digital creator,Lovekesh Pal,147,29.4,28628
49443944127,abhitonight,Digital creator,Coding & Tech with Abhishek,330,66.0,33915
43875098557,roadsidecoder,Education,Piyush Agarwal a.k.a Roadside Coder,174,34.8,15344
58718037168,highonnknowledge,Education,Kasturi Vats,35,7.0,45172
48734716303,viral.coder,Digital creator,Mukul | Developer,543,108.6,58290
46646546574,code.scientist,"Science, Technology & Engineering",Piyush Patil â€¢ AI â€¢ Web,609,121.8,84589
9202857852,coding.beast,Web Designer,Web Developer | Coding Beast,367,73.4,79875
35695055351,reactjsofficial,Web Designer,Reactjsofficial,169,33.8,78389
1925579608,akshaymarch7,Education,Akshay Saini,144,28.8,63303
65833298700,iron.coding,Digital creator,Iron Coding | Android Developer | Flutter | Web Developer,119,23.8,78646
65641893357,samayrainadoesnthesitate,Video creator,Samay Raina should hesitate ðŸ‘€,132,26.4,75032
61787511591,samaywastingsamay,Video creator,Samay Raina,163,32.6,35400
50056538276,wushang.clan,Artist,WuShang,14,2.8,30239
59150277843,indianhardimages,Digital creator,indian hard images,417,83.4,83359
67476502159,raftaarvault,Artist,Team Raftaar,18,3.6,6312
50674817715,savagetitu,Public figure,Titu Mama,43,8.6,91704
